epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2444.43,0.96685,0.74121,1.28697,0.80355,0.68251,0.74394,0.43229,1.53706,1.27306,1.65989,0.007921,0.007921,0.007921
44,2500.93,0.96868,0.74034,1.28808,0.83088,0.67735,0.74945,0.43318,1.54371,1.24516,1.66894,0.0078715,0.0078715,0.0078715
45,2557.3,0.95199,0.73319,1.28315,0.83681,0.69173,0.76162,0.43359,1.54937,1.16488,1.68831,0.007822,0.007822,0.007822
46,2613.78,0.94326,0.72166,1.27626,0.81743,0.70735,0.77148,0.45502,1.52128,1.10278,1.64548,0.0077725,0.0077725,0.0077725
47,2670.5,0.93864,0.71965,1.27325,0.81118,0.67992,0.77205,0.45516,1.49161,1.13931,1.63275,0.007723,0.007723,0.007723
48,2727.17,0.9418,0.71234,1.26646,0.78581,0.72371,0.76491,0.45539,1.52471,1.04595,1.65964,0.0076735,0.0076735,0.0076735
49,2783.53,0.92856,0.71694,1.26901,0.75424,0.70128,0.74365,0.43506,1.53532,1.15243,1.6562,0.007624,0.007624,0.007624
50,2840,0.91623,0.69203,1.25449,0.73562,0.72287,0.76256,0.43954,1.54969,1.11569,1.67607,0.0075745,0.0075745,0.0075745
51,2896.46,0.91154,0.68814,1.25501,0.79403,0.70613,0.76393,0.45453,1.50558,1.10475,1.66201,0.007525,0.007525,0.007525
52,2953.02,0.90822,0.68763,1.25243,0.82002,0.68555,0.78404,0.44586,1.56013,1.10517,1.70812,0.0074755,0.0074755,0.0074755
53,3009.41,0.89564,0.68014,1.23835,0.81069,0.6983,0.78653,0.45815,1.53462,1.09396,1.68498,0.007426,0.007426,0.007426
54,3066.11,0.89939,0.6759,1.2424,0.8029,0.68306,0.7857,0.45907,1.53297,1.15552,1.6795,0.0073765,0.0073765,0.0073765
55,3122.69,0.89045,0.67489,1.24381,0.85207,0.66509,0.76867,0.45179,1.53127,1.23481,1.679,0.007327,0.007327,0.007327
56,3179.12,0.8798,0.66507,1.2325,0.77012,0.69804,0.76234,0.44817,1.52844,1.15363,1.65908,0.0072775,0.0072775,0.0072775
57,3235.56,0.87659,0.65744,1.22626,0.80927,0.66258,0.75849,0.43972,1.57767,1.17906,1.72531,0.007228,0.007228,0.007228
58,3292.03,0.87331,0.6573,1.2225,0.82411,0.68059,0.76449,0.44206,1.56031,1.17452,1.72198,0.0071785,0.0071785,0.0071785
59,3348.51,0.86565,0.64611,1.22178,0.81147,0.71811,0.78006,0.45891,1.51995,1.08523,1.68762,0.007129,0.007129,0.007129
60,3404.87,0.8627,0.63848,1.21802,0.77058,0.69739,0.77166,0.45881,1.5041,1.14837,1.66867,0.0070795,0.0070795,0.0070795
61,3461.57,0.8557,0.63702,1.21549,0.84869,0.6666,0.78031,0.46593,1.52665,1.07771,1.67026,0.00703,0.00703,0.00703
62,3518.03,0.84486,0.63148,1.20949,0.78156,0.70446,0.77566,0.46131,1.51824,1.06715,1.68335,0.0069805,0.0069805,0.0069805
63,3574.5,0.83852,0.62149,1.19726,0.7685,0.74675,0.79941,0.46964,1.5164,1.04548,1.67303,0.006931,0.006931,0.006931
64,3631.03,0.8428,0.6265,1.20001,0.76737,0.74502,0.78078,0.44637,1.53837,1.03813,1.68512,0.0068815,0.0068815,0.0068815
65,3687.61,0.84004,0.61861,1.19682,0.81034,0.70221,0.75932,0.43578,1.55483,1.16766,1.70226,0.006832,0.006832,0.006832
66,3743.98,0.83347,0.61499,1.19611,0.83673,0.69822,0.77809,0.45597,1.53076,1.22353,1.67096,0.0067825,0.0067825,0.0067825
67,3800.53,0.81953,0.60631,1.18589,0.83823,0.72046,0.80044,0.46765,1.52603,1.10835,1.66848,0.006733,0.006733,0.006733
68,3857.14,0.82476,0.60766,1.19347,0.80233,0.71661,0.79771,0.47164,1.53769,1.08349,1.7037,0.0066835,0.0066835,0.0066835
69,3913.8,0.81689,0.60126,1.18485,0.79053,0.73797,0.78748,0.47569,1.49341,1.10291,1.66877,0.006634,0.006634,0.006634
70,3970.37,0.79512,0.58652,1.17371,0.8213,0.72178,0.79857,0.47456,1.52634,1.11622,1.67803,0.0065845,0.0065845,0.0065845
71,4026.97,0.80103,0.58807,1.17573,0.80488,0.70418,0.78211,0.46069,1.52644,1.09186,1.67375,0.006535,0.006535,0.006535
72,4083.51,0.80523,0.58558,1.17188,0.79863,0.72791,0.79334,0.48242,1.50283,1.09689,1.67764,0.0064855,0.0064855,0.0064855
73,4139.92,0.79209,0.58181,1.17134,0.80402,0.69648,0.7815,0.47026,1.52976,1.12713,1.70895,0.006436,0.006436,0.006436
74,4196.51,0.78952,0.57916,1.16729,0.8133,0.7251,0.78157,0.46947,1.50131,1.13994,1.68336,0.0063865,0.0063865,0.0063865
75,4252.91,0.78388,0.57274,1.16191,0.78527,0.73319,0.78743,0.47317,1.51152,1.12843,1.67317,0.006337,0.006337,0.006337
76,4309.52,0.78298,0.56338,1.16208,0.81249,0.72963,0.78742,0.47532,1.49928,1.12238,1.6732,0.0062875,0.0062875,0.0062875
77,4365.91,0.77976,0.569,1.15797,0.82227,0.70985,0.7867,0.47229,1.51836,1.10612,1.6809,0.006238,0.006238,0.006238
78,4422.31,0.76696,0.55628,1.15073,0.81117,0.71241,0.77291,0.46215,1.51737,1.15835,1.68347,0.0061885,0.0061885,0.0061885
79,4478.65,0.77495,0.56129,1.15733,0.80391,0.70118,0.77327,0.46544,1.52546,1.23237,1.69246,0.006139,0.006139,0.006139
80,4535.05,0.76702,0.56267,1.15501,0.77805,0.72545,0.78485,0.47955,1.51219,1.16202,1.68999,0.0060895,0.0060895,0.0060895
81,4591.5,0.75418,0.54205,1.14422,0.7651,0.7145,0.7665,0.46768,1.51165,1.14175,1.6981,0.00604,0.00604,0.00604
82,4647.93,0.75658,0.53793,1.14398,0.78386,0.73808,0.78264,0.47055,1.52531,1.13188,1.70131,0.0059905,0.0059905,0.0059905
83,4704.24,0.7546,0.54674,1.14348,0.75642,0.73558,0.77467,0.46854,1.50376,1.1772,1.68545,0.005941,0.005941,0.005941
84,4760.53,0.75115,0.54193,1.13958,0.76864,0.72667,0.78395,0.47368,1.51499,1.15639,1.69016,0.0058915,0.0058915,0.0058915
85,4816.92,0.74459,0.54366,1.1376,0.8225,0.71327,0.78823,0.47634,1.5054,1.13394,1.68196,0.005842,0.005842,0.005842
86,4873.11,0.7365,0.53124,1.13524,0.78089,0.73065,0.77715,0.47199,1.51267,1.15002,1.68934,0.0057925,0.0057925,0.0057925
87,4929.6,0.73498,0.52643,1.12962,0.80757,0.69502,0.77465,0.47182,1.50477,1.15726,1.66279,0.005743,0.005743,0.005743
88,4986.04,0.73159,0.51865,1.12535,0.79752,0.72859,0.7789,0.47631,1.49929,1.17669,1.65307,0.0056935,0.0056935,0.0056935
89,5042.47,0.72956,0.51967,1.12423,0.80171,0.70725,0.76925,0.46474,1.50926,1.16587,1.67026,0.005644,0.005644,0.005644
90,5098.91,0.72877,0.5236,1.12426,0.78906,0.72865,0.77166,0.46843,1.48872,1.1736,1.64947,0.0055945,0.0055945,0.0055945
91,5155.49,0.71694,0.51027,1.11544,0.81835,0.68521,0.77074,0.46875,1.50255,1.21408,1.67439,0.005545,0.005545,0.005545
92,5211.92,0.71858,0.51172,1.12141,0.84961,0.65622,0.76137,0.46772,1.49665,1.21388,1.66476,0.0054955,0.0054955,0.0054955
93,5268.38,0.71059,0.51028,1.11603,0.80628,0.69999,0.76499,0.46418,1.50107,1.20404,1.67443,0.005446,0.005446,0.005446
94,5324.88,0.71484,0.51017,1.11991,0.78028,0.71409,0.76725,0.46925,1.50111,1.19948,1.68025,0.0053965,0.0053965,0.0053965
95,5381.3,0.70731,0.50985,1.1172,0.76871,0.71182,0.76685,0.4699,1.50321,1.18256,1.68202,0.005347,0.005347,0.005347
96,5437.66,0.70415,0.50272,1.11217,0.79283,0.7055,0.76673,0.4697,1.51328,1.17652,1.68737,0.0052975,0.0052975,0.0052975
97,5494.1,0.70168,0.4988,1.10784,0.79146,0.71752,0.76925,0.46593,1.52559,1.18491,1.70126,0.005248,0.005248,0.005248
98,5550.5,0.69364,0.49086,1.10647,0.77354,0.70382,0.76179,0.45957,1.53509,1.21324,1.71178,0.0051985,0.0051985,0.0051985
99,5606.85,0.70136,0.50031,1.10939,0.79435,0.70212,0.75622,0.45518,1.5317,1.22085,1.72,0.005149,0.005149,0.005149
100,5663.18,0.69105,0.49174,1.10572,0.77403,0.70505,0.75038,0.45019,1.53354,1.2202,1.72976,0.0050995,0.0050995,0.0050995
101,5719.55,0.68794,0.49086,1.10594,0.78264,0.70179,0.75444,0.45734,1.53364,1.23126,1.72905,0.00505,0.00505,0.00505
102,5775.99,0.67752,0.4786,1.0932,0.77502,0.70203,0.76064,0.46205,1.53475,1.21895,1.72994,0.0050005,0.0050005,0.0050005
103,5832.38,0.67902,0.47999,1.09142,0.78843,0.71521,0.766,0.47011,1.51849,1.19943,1.71786,0.004951,0.004951,0.004951
104,5888.73,0.67564,0.47819,1.09486,0.78924,0.71729,0.76888,0.46691,1.51317,1.20189,1.70398,0.0049015,0.0049015,0.0049015
105,5945.16,0.67071,0.47593,1.09259,0.80875,0.68574,0.76632,0.46576,1.51339,1.20997,1.70517,0.004852,0.004852,0.004852
106,6001.49,0.65949,0.46564,1.07781,0.76732,0.69631,0.76599,0.46534,1.51386,1.22859,1.70402,0.0048025,0.0048025,0.0048025
107,6057.88,0.66489,0.46481,1.08712,0.78945,0.6904,0.76465,0.46669,1.52248,1.2539,1.71198,0.004753,0.004753,0.004753
108,6114.21,0.66236,0.46327,1.08305,0.78661,0.70099,0.76496,0.46646,1.52764,1.23139,1.71955,0.0047035,0.0047035,0.0047035
109,6170.57,0.6534,0.46692,1.07913,0.78174,0.69911,0.76422,0.46442,1.52415,1.24653,1.71484,0.004654,0.004654,0.004654
110,6227.12,0.6649,0.46992,1.08919,0.78154,0.69405,0.76705,0.46783,1.51899,1.2296,1.7133,0.0046045,0.0046045,0.0046045
111,6283.51,0.65464,0.46019,1.08084,0.79257,0.69338,0.77002,0.46796,1.52851,1.22554,1.72643,0.004555,0.004555,0.004555
112,6339.91,0.64764,0.4612,1.0789,0.79382,0.70111,0.76721,0.46683,1.53284,1.23742,1.73074,0.0045055,0.0045055,0.0045055
113,6396.22,0.64487,0.45332,1.07459,0.78772,0.69066,0.76053,0.46594,1.53524,1.25804,1.73317,0.004456,0.004456,0.004456
